Folio,Rfc,Razón social,Rubro,Misión,Valores,Actividad,Activo circulante,Activo fijo,Activo diferido,Pasivo,Patrimonio,Ingreso por donativos_Monto efectivo,Ingreso por donativos_Monto especie,Donativos otorgados_Monto efectivo,Donativos otorgados_Monto especie,Integrantes del órgano de gobierno,Monto salario,Plantilla laboral,Voluntarios,Monto salarios,Ingresos relacionados_Monto,Ingresos no relacionados_Monto,Destino de donativos_Monto,Número de beneficiados,Monto nacional operación,Monto nacional admin,Monto extranjero operación,Monto extranjero admin,ref
TRANS000178/2025,FMM090514A35,FUNDACION MIGUEL MORALES LOPEZ AC,Organizaciones civiles y fideicomisos asistenciales,"PROPORCIONAR AYUDA INMEDIATA A ENFERMOS Y ENFERMAS DE ESCASOS RECURSOS, MEJORANDO SU CALIDAD DE VIDA ASÍ COMO A SU ENTORNO FAMILIAR Y SOCIAL SIENDO ENLACE ENTRE LOS RECURSOS Y LAS NECESIDADES, CON LAS OPORTUNIDADES QUE PROPORCIONA LA SOCIEDAD Y GOBIERNO, LLEGANDO HASTA EL LUGAR DONDE EXISTE LA NECESIDAD","AMOR AMISTAD TOLERANCIA BONDAD SOLIDARIDAD RESPETO IQUALDAD PACIENCIA RESPONSABILIDAD, HONRADEZY PAZ",Asistenciales,0.0,281695.0,0.0,281667.45,27.55,44080.0,237587.44999999998,0.0,0.0,"ALVARO MORALES LOPEZ,CLAUDIA MORALES LOPEZ,YADIRA MORALES LOPEZ",104969.76,1,13,8000.0,0.0,0.0,0.0,0.0,0.0,77325.24,0.0,0.0,data/2024/FMM090514A35.xlsx
TRANS001888/2025,BAC0910211G8,BANCO DE ALIMENTOS COSTALEGRE AC,Organizaciones civiles y fideicomisos asistenciales,ENTREGAR DESPENSAS EN TODA LA CABECERA MUNICIPAL DE NUESTRAS COMUNIDADES SE BENEFICIEN Y TEMPORALMENTE PUEDAN RESOLVER SU SITUACION ALIMENTICIA PUEADAN IR  A LABORAR Y TRAIGAN LO NECESARIO PARA SUS FAMILIAS . A FUTURO PUEDAN SER INDEPENDIENTES.,COMPARTIENDO ALIMENTO Y ESPERANZA.,Asistenciales,134208.66,58507.78,476.0,134208.66,58983.78,247490.0,40576.0,0.0,0.0,BANCO DE ALIMENTOS COSTALEGRE AC,0.0,1,4,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/2024/BAC0910211G8.xlsx
TRANS002795/2025,PPB610315K34,PATRONATO DE PAPELEROS Y BOLEROS AC,Organizaciones civiles y fideicomisos educativos,"","",Educativa,350463.0,55824.0,0.0,296048.0,110239.0,1048234.0,0.0,0.0,0.0,"JOSE EUGENIO RAMOS DELGADO,GERARDO LEAL GUERRERO,SANTIAGO GUTIERREZ SAENZ,MIGUEL ANGEL ESPINOSA GARZA,EDUARDO SERVANDO GUERRA SEPULVEDA,HUGO ROMEO SALAZAR ZUAREZ",0.0,36,0,4266561.0,4394084.0,0.0,6062518.0,131.0,1795957.0,0.0,0.0,0.0,data/2024/PPB610315K34.xlsx
TRANS005278/2025,UCS941021DY0,UNIVERSIDAD DEL CLAUSTRO DE SOR JUANA AC,Organizaciones civiles y fideicomisos educativos,"QUE LA EDUCACIÓN DE SERES HUMANOS CON CONCIENCIA DE SU COMPROMISO CON LA COMUNIDAD, LA SOCIEDAD Y EL PAÍS MEDIANTE LA DOCENCIA, LA INVESTIGACIÓN, LAS ACTIVIDADES DE EDUCACIÓN CONTINUA Y LA FORMACIÓN CULTURAL.","SER EL ESPACIO EN DONDE LAS PERSONAS PUEDAN ENCONTRAR SU VOCACIÓN Y DESPLEGAR SUS CAPACIDADES, DONDE RECONOZCAN QUE EL VALOR DE LA EDUCACIÓN ES EL RECONOCIMIENTO DEL PROPIO SER Y DE LA IMPORTANCIA DE LA VIDA EN COMUNIDAD. SER UNA INSTITUCIÓN QUE RECONOZCA QUE LO QUE IMPORTA ES LA VIDA, EL BIEN, LA ",Educativa,71197501.0,62741619.0,3126007.0,25537245.0,111527882.0,7842333.0,1042200.0,0.0,0.0,"CARMEN BEATRIZ LOPEZ PORTILLO ROMANO,GUILLERMINA TORRES SAVIN,RAFAEL TOVAR Y LOPEZ PORTILLO,MA. TERESA ATRIAN PINEDA,BRAULIO GONZALEZ VIDAÑA,JOSE LUIS MORONATTI RUIZ",9477260.0,258,0,68687419.0,158279902.0,7310405.0,8884533.0,2355.0,163151235.0,22643382.0,0.0,0.0,data/2024/UCS941021DY0.xlsx
TRANS004814/2025,CCS051019JJ2,CENTRO COMUNITARIO SANTA FE AC,Organizaciones civiles y fideicomisos asistenciales,"PROMOVER LA DIGNIDAD Y LAS CAPACIDADES DE LAS PERSONAS, EN COMUNIDADES EN DESARROLLO, A TRAVÉS DE UNA  ATENCIÓN INTEGRAL, LOGRANDO EL COMPARTIR FRATERNO ENTRE FAMILIAS Y COMUNIDADES PLURALES.","COMPROMISO, PARA CUMPLIR CABALMENTE Y CON SERIEDAD LA RESPONSABILIDAD ASUMIDA HASTA ALCANZAR LAS METAS MÁS ALTAS. GENEROSIDAD, PARA DAR Y COMPARTIR LO QUE REALMENTE FAVOREZCA EL DESARROLLO DE LAS PERSONAS, RECONOCIÉNDONOS CADA UNO NECESITANDO AL OTRO. HUMILDAD, PARA SER CONSICIENTES DE QUE LA GRAND",Asistenciales,39955218.81,1295715.38,0.0,276032.74,40974901.45,8974794.43,83520.0,0.0,0.0,"FRANCISCO ALBERTO CANTU QUINTANILLA,STEPHANY MARGARITA ROACH SANCHEZ,MONICA BEATRIZ GONZALEZ BECKMANN,RUBEN ILLOLDI GARCIA CERDA,JOSE DE JESUS CHAVEZ HERNANDEZ,IÑIGO ARRECHEA GARCIA DE VINUESA,JUAN PABLO BALLESTEROS GUTIERREZ,ELIA ADRIANA ELIZONDO GRIMALDO,ALMUDENA GARCIA DE VINUESA BOVILLE,JOSE EDUARDO NICOLAS ESTEVE RECOLONS,MARIA DE REGLA CARLOTA DE LESCHEVIN DE PREVOISIN ROMERO DE TERREROS,MARIA DEL PILAR PARAS GARCIA,JUAN JOSE BASAGOITI CAICOYA,JESSICA NUÑEZ BACHMANN,MARTA ESTEVE RECOLONS,MARIA SUAREZ FERNANDEZ",0.0,21,885,4653992.81,5103609.22,1145.04,9408108.010000002,3451.0,9569556.25,0.0,0.0,0.0,data/2024/CCS051019JJ2.xlsx
TRANS007073/2025,HHM890914F16,HABITAT PARA LA HUMANIDAD MEXICO AC,Organizaciones civiles y fideicomisos asistenciales,"CONVOCAR A LA GENTE PARA CONSTRUIR VIVIENDAS, COMUNIDADES Y ESPERANZA, ASI DEMOSTRAR EL AMOR DE DIOS EN ACCION","AMOR EN ACCION, RESPETO Y SERVICIO",Asistenciales,67912291.0,10855331.0,0.0,56332888.0,22434734.0,162047662.1,1081063.46,0.0,0.0,"ADA GRICELDA BONIFAZ VILLAR,ADELA BONILLA VIDAL,ADRIANA REYNAGA MORALES,ALEJANDRO MARTINEZ CERROS,ARIEL CANO CUEVAS,ASSENET LAVALLE ARENAS,BOOGGAR GONZALEZ GOMEZ,BULMARO SANCHEZ JIMENEZ,CECILIA MARTINEZ LEAL,DANIELLA GURREA MARTINEZ,DEBORAH GOYA OSTOS,DULCE MARIA EDUWIGES LOPEZ NUÑO,ELENA VIRGINIA VICENTA SOLIS PEREZ,ERIK ANTONIO NAVARRO MENDEZ,FATIMA KARINA MONTOYA JOVEL,FERNANDO LUIS MANZANILLA PRIETO,IGNACIO TRIGUEROS TIRADO,ISAAC ESCAMILLA SANDOVAL,JESUS RODOLFO RODRIGUEZ CARRANZA,JOSE BULMARO GONZALEZ GARCIA,JOSE GENARO DE JESUS SEGURA SILVA,JOSE GUILLERMO MONTOYA CASTILLO,JULIANA DAVID MENDOZA,MAGDIEL YAIR LUIS SANTIAGO,MARGARITA GUTIERREZ ROMERO,MARIA TERESA CHAVEZ TRUEBA,MARIA TERESA LIEDO FERNANDEZ,MARIA TERESA MALDONADO BALLESTEROS,MICAELA PADILLA BARREDA,NURIA TORROJA MATEU,MIRIAM VIRIDIANA ROSAS GARCIA,SABAS CRUZ GARCIA,SERAFIN ESTANISLAO ESCAMILLA BARRERA,VICTOR HUGO LUQUE SALCEDO",0.0,54,0,21776196.97,11358905.59,3300.86,105661906.76000002,1896.0,35943557.76999999,2476431.1799999997,0.0,0.0,data/2024/HHM890914F16.xlsx
TRANS004937/2025,RME120517HQ5,LA REALIDAD DE MEXICO AC,Organizaciones civiles y fideicomisos asistenciales,"MEJORAR LA CALIDAD DE VIDA DE PERSONAS EN SITUACIÓN DE VULNERABILIDAD EN EL PAÍS, BRINDANDO APOYOS EN ALIMENTICIOS, VESTIDO, SALUD Y CAPACITACIÓN PARA EL AUTO EMPLEO Y AYUDA ASISTENCIAL DIGNA A PERSONAS EN SITUACIÓN DE EXTREMA MARGINACIÓN Y PENURIAS","SOLIDARIDAD, RESPONSABILIDAD, IGUALDAD, ÉTICA, TRANSPARENCIA",Asistenciales,0.0,0.0,0.0,0.0,0.0,0.0,10445.61,0.0,0.0,"LAURA LUNA MEJIA,DIANA LIZBETH GUTIERREZ LUNA,CARLOS ALBERTO GUTIERREZ LUNA,ANDRES GONZALEZ ALVAREZ",0.0,0,4,0.0,0.0,0.0,10445.61,53.0,0.0,0.0,0.0,0.0,data/2024/RME120517HQ5.xlsx
TRANS003973/2025,CTE820125DN5,COLEGIO TENOSIQUE AC,Organizaciones civiles y fideicomisos educativos,"OFRECER UNA EDUCACIÓN AUTÉNTICAMENTE HUMANO-CRISTIANA, CENTRADA EN EL AMOR AL CORAZÓN DE JESÚS Y LA PEDAGOGÍA DE SANTA MARÍA DE GUADALUPE, PROMOVIENDO EL CRECIMIENTO INTEGRAL DE LA PERSONA, PARA LA TRASCENDENCIA Y EL COMPROMISO ÉTICO.","RECTITUD, CIENCIA, DIGNIDAD Y JUSTICIA",Educativa,76099.0,40706.0,97808.0,23973.0,190640.0,620200.0,0.0,0.0,0.0,"MARIBEL ALFARO GOMEZ,ANGELA VALENCIA CRUZ,JUANA PEREZ DIAZ",0.0,41,0,2799420.0,3076143.0,0.0,0.0,172.0,3965599.0,0.0,0.0,0.0,data/2024/CTE820125DN5.xlsx
TRANS011007/2025,FMM9804231L5,FUNDACION MICHOU Y MAU IAP,Organizaciones civiles y fideicomisos asistenciales,QUE NINGÚN NIÑO MEXICANO VICTIMA DE QUEMADURAS MUERA POR FALTA DE UNA OPORTUNA ATENCIÓN MEDICA ESPECIALIZADA.,"BRINDAR ASISTENCIA PARA QUE NIÑOS CON QUEMADURAS SEVERAS TENGAN LOS MEJORES PROGRAMAS DE TRATAMIENTO AVANZADO, ATENCIÓN MULTIDISCIPLINARIA DE SECUELAS AGUDAS, CAPACITACIÓN MÉDICA, DESARROLLO DE SERVICIOS MÉDICOS DEDICADOS Y MANTENER CAMPAÑA NACIONAL PERMANENTE PARA LA PREVENCIÓN DE QUEMADURAS.",Asistenciales,28664809.0,4991670.0,0.0,717239.0,32939240.0,15052024.0,177870.0,0.0,0.0,"MARIA ESPERANZA LEONOR GARCIA CONDE Y TRELLES,CAMILA GONZALEZ LEMAITRE,GUILLERMINA TERESITA DE JESUS PILGRAM SANTOS,ALFONSINA ANGELICA AVILA ROMAY,CONSUELO EVELIN DE LA PUENTE GONZALEZ,JOSE ANTONIO SILVA VILLASEÑOR,MARIA VIRGINIA SENDEL E ITURBIDE",0.0,13,8,3671211.0,1935089.0,0.0,13950268.0,13143.0,13950268.0,279251.0,0.0,0.0,data/2024/FMM9804231L5.xlsx
TRANS008673/2025,FTE951227NS5,FUNDACION TELMEX AC,Organizaciones civiles y fideicomisos asistenciales,"","",Asistenciales,34105254695.0,43218300.0,0.0,12359552.0,34136113443.0,57807655.0,0.0,102184127.0,0.0,"ARTURO ELIAS AYUB,JOSE FAUSTO COTA CHIRINO",2554370.0,27,0,22663469.0,382149085.0,0.0,424018170.0,27263.0,102274659.0,9126624.0,0.0,0.0,data/2024/FTE951227NS5.xlsx
